Connector Code,Connector: Record ID,Connector: Source,Connector: Connector Activity,Connector: Connector Sub Category,Connector: Connector Category,Connector: Connector Type,Connector: App Registered,Oct-16,May-17,Oct-17,Dec-17,Jan-18,Feb-18,Mar-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
HFFC-033355,aAZ5i000000LWrv,Business Development,Never Active,One man show,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-023746,aAZ2j000000L0TU,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
HFFC-014202,aAZ2j00000002pf,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-029364,aAZ5i000000LGSP,Other,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-022428,aAZ2j0000000DRP,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1
HFFC-007267,aAZ0o000000GnC5,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-009758,aAZ0o00000008LC,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,3,1,,,,,,3,1,,3,3,1,2,1,1,2,2,4,,2,2,7,2,,3,1,2,2,5,4,2,8,,,,31
HFFC-009446,aAZ0o000000Gq1P,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-033204,aAZ5i000000LWfk,Business Development,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-004875,aAZ0o000000CnPe,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-024055,aAZ2j000000L0xK,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-018090,aAZ2j00000007pQ,Connector App,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Builder Employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
HFFC-026173,aAZ2j000000L4H3,Other,Never Active,One man show,Builder Ecosystem,Real Estate Agent/Broker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,4
HFFC-015758,aAZ2j00000004q1,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,,2,2,4,2,1,1,3,1,,2,4,3,4,6,3,1,5,,,,6,11,11,55
HFFC-004300,aAZ0o000000PGrv,Business Development,Dormant Connector,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-021782,aAZ2j0000000CbO,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,1
HFFC-024297,aAZ2j000000L1QR,Connector App,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
HFFC-000403,aAZ9000000000Sl,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-015268,aAZ2j00000004Cu,Branch Walk-In,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,3,2,3,1,1,,4,3,,2,2,,2,4,2,3,2,3,,1,2,6,6,3,35
HFFC-012348,aAZ2j00000000TS,Connector App,Never Active,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-027717,aAZ5i000000L5Ri,Marketing,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-008103,aAZ0o000000GoHQ,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,1,1,,,,,3,14,3,1,1,,2,3,,3,3,,,2,12,1,1,1,,5,1,2,3,1,,2,,,15
HFFC-028763,aAZ5i000000LD8w,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,2,7
HFFC-008180,aAZ0o000000GoNd,Branch Walk-In,Dormant Connector,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,,,,,,,,,,,,,1,,,,1,,2,1,1,,1,,,,1,,3,1,1,,,1,7
HFFC-030265,aAZ5i000000LMTF,InternPro,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
HFFC-006508,aAZ0o000000Cpnr,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-032649,aAZ5i000000LVjT,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-026584,aAZ2j000000PAy6,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
HFFC-022986,aAZ2j000000KzCh,Beat Mapping,Lead Stage,Multi brand Prime HL,Builder Ecosystem,Real Estate Agent/Broker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-016492,aAZ2j00000005mo,Business Development,Active,Multi brand Affordable HL,Builder Ecosystem,Builder Employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,7,4,15,2,,,4,4,12,1,9,4,5,7,5,4,6,3,3,1,1,2,,43
HFFC-015029,aAZ2j00000003tn,DCC,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000378,aAZ9000000000Qk,Institutional Referral Partner,Dormant Connector,,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-025499,aAZ2j000000L3DP,Business Development,Dormant Connector,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,2,,,,7
HFFC-012413,aAZ2j00000000Yh,Connector App,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-004475,aAZ0o000000CmtO,Beat Mapping,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-016710,aAZ2j000000064O,,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-003124,aAZ0o000000btVQ,Branch Walk-In,Dormant Connector,,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017639,aAZ2j00000007FN,Branch Walk-In,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,3
HFFC-021632,aAZ2j0000000CPI,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,
HFFC-025528,aAZ2j000000L3Fk,Connector App,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,4,5,2,7,5,3,6,6,53
HFFC-023592,aAZ2j000000L0Fh,Business Development,Never Active,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,,,,,,,,,,,,
HFFC-031334,aAZ5i000000LTbQ,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
HFFC-024260,aAZ2j000000L1Mt,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,3,7
HFFC-025769,aAZ2j000000L3f4,Business Development,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2
HFFC-016935,aAZ2j00000006M4,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,1,,,,,1,1,,2,1,,,2,,,,,,,,,2
HFFC-001162,aAZ9000000001S8,Branch Walk-In,Dormant Connector,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-026496,aAZ2j000000L4mG,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,,,,,10
HFFC-003335,aAZ0o000000btqZ,Existing Customer,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,1,1,1,2,,1,,,1,,,,,,,,,,,,,,,,,,
HFFC-017745,aAZ2j00000007Nq,Connector App,Never Active,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,1,1,,,,,,,,,,,,,,,,,,,,
HFFC-031441,aAZ5i000000LTkm,Beat Mapping,Never Active,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
HFFC-004742,aAZ0o000000CnEv,Beat Mapping,Never Active,,Construction Community,Cement Shop/Steel Store,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-002093,aAZ90000000PEZW,Outdoor Ad,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,1,1,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
HFFC-008962,aAZ0o000000GpOS,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,3,4,,,,2,1,10,3,2,6,11,3,2,8,7,6,8,4,6,2,7,3,1,2,1,5,,3,1,4,4,,3,1,34
HFFC-030062,aAZ5i000000LLJV,Business Development,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-029962,aAZ5i000000LKEG,Business Development,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3
HFFC-020529,aAZ2j0000000Axr,Connector App,Never Active,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-004065,aAZ0o000000PGMa,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,1,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-007424,aAZ0o000000GnOk,Branch Walk-In,Dormant Connector,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,1,,,,2,1,,2,,,,,,,,1,,1,1,2,,,,,,,,3,2,4,2,,2,14
HFFC-011960,aAZ0o000000PNpk,Connector App,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-017841,aAZ2j00000007Va,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,2,2,4,1,3,,1,2,1,,1,,4,1,1,,2,2,14
HFFC-003435,aAZ0o000000btyd,Branch Walk-In,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,6,5,4,6,6,7,,2,,,1,1,,,2,3,4,4,3,4,1,2,3,1,,1,,3,22
HFFC-018189,aAZ2j00000007xK,Business Development,Never Active,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
HFFC-020373,aAZ2j0000000AlW,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,
HFFC-004250,aAZ0o000000PGnt,Website,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,1,,,,,2,2,6
HFFC-027314,aAZ5i000000L1or,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
HFFC-019493,aAZ2j00000009dW,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,1,3,1,2,1,3,1,,,1,1,,,2,1,1,,,2,8
HFFC-032408,aAZ5i000000LVLB,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-009664,aAZ0o000000GqIz,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-021410,aAZ2j0000000C7J,Social Media,Lead Stage,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,
HFFC-012654,aAZ2j00000000s8,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-021723,aAZ2j0000000CWd,Other,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-027375,aAZ5i000000L2Ek,Beat Mapping,Never Active,Multi brand Affordable HL,Financial Connectors,LIC Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
HFFC-011242,aAZ0o000000PMtq,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017571,aAZ2j000000079y,Connector App,Lead Stage,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-011833,aAZ0o000000PNfV,Branch Walk-In,Dormant Connector,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,1,,2,,,,,,,,,,,,,,,,,,
HFFC-032814,aAZ5i000000LVwc,Outdoor Ad,Never Active,Multi brand Prime HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-001705,aAZ90000000PE4E,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-019310,aAZ2j00000009Ol,Connector Referral,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,1,1,1,,2,2,,,,,,1,2,,4,,,7
HFFC-006135,aAZ0o000000CpJh,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,4,1,1,,1,3,1,,3,9,1,3,1,,,1,,1,1,1,3,15
HFFC-023425,aAZ2j000000KzyR,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
HFFC-028997,aAZ5i000000LEFS,Business Development,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-033455,aAZ5i000000LX1b,Other,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
HFFC-023292,aAZ2j000000Kzeb,Marketing,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,
HFFC-004245,aAZ0o000000PGnU,Construction Community Partners,Dormant Connector,Multi brand Affordable HL,Construction Community,Contractor,0,,,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-030314,aAZ5i000000LMcI,InternPro,Active,One man show,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,4,8,22
HFFC-019308,aAZ2j00000009Ob,Branch Walk-In,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,,1,,3,,2,2,4,7,1,2,3,4,6,4,12,5,7,63
HFFC-013401,aAZ2j00000001qI,Business Development,Dormant Connector,Multi brand Affordable HL,Construction Community,Contractor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,1,2,,,,1,1,,1,,,,,,,,,,,,,,
HFFC-000638,aAZ9000000000li,Website,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-007949,aAZ0o000000Go50,Business Development,Dormant Connector,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-029135,aAZ5i000000LFUe,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-030137,aAZ5i000000LLpD,InternPro,Lead Stage,Multi brand Affordable HL,Financial Connectors,LIC Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
HFFC-019520,aAZ2j00000009fX,Business Development,Active,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,2,2,3,8,5,5,5,7,44
HFFC-027579,aAZ5i000000L3np,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-027479,aAZ5i000000L38j,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
HFFC-003769,aAZ0o000000PFys,Beat Mapping,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-033960,aAZ5i000000LXmE,InternPro,Never Active,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HFFC-027759,aAZ5i000000L5pk,Connector App,Active,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,6,4,23
HFFC-027539,aAZ5i000000L3kb,Beat Mapping,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-030506,aAZ5i000000LOM8,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-019187,aAZ2j00000009Eq,Beat Mapping,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-029071,aAZ5i000000LEwa,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,5,,1,8
HFFC-023163,aAZ2j000000KzTx,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,3,2,1,,,,,,,,6
HFFC-028184,aAZ5i000000L9PM,Beat Mapping,Active,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,6,9,4,4,34
HFFC-011699,aAZ0o000000PNUh,Connector App,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
HFFC-001504,aAZ90000000PDo1,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,2,2,,4,8,4,1,1,1,1,,2,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-002592,aAZ90000000PFDl,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,,1,1,,,,,,,1,,,1,,,,,,,,,,1,,,,1
HFFC-006031,aAZ0o000000CpBJ,Beat Mapping,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-014168,aAZ2j00000002mv,Business Development,Active,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,2,2,,,,1,,,,,1,1,1,,,,,,2,,2,2,2,1,11
HFFC-019011,aAZ2j000000090y,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
