Connector Code,Id (Connector),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-029834,aAZ5i000000LJCGGA4,,,,,,,,,,,,,,,,,,,,,2,,,
HFFC-008644,aAZ0o000000GoyoGAC,,,,2,,,,,2,,,,,,,,,,,,,,,
HFFC-009923,aAZ0o00000008YVGAY,4,,,,1,1,,,1,3,,2,3,2,2,3,7,1,3,3,1,,,
HFFC-024517,aAZ2j000000L1jxGAC,,,,,,,,,,,,,,,3,1,,,,,2,2,1,
HFFC-000873,aAZ90000000014pGAA,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-000805,aAZ9000000000zLGAQ,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-020476,aAZ2j0000000AtfGAE,,,,,,,,3,1,,,,,,,,,,,,,,,
HFFC-014512,aAZ2j00000003EVGAY,,,1,1,,,,,,,,,1,1,,,,,,,,,,
HFFC-000773,aAZ9000000000wlGAA,,,,,1,,,,,,,,,,,,,,,,1,,,
HFFC-025971,aAZ2j000000L3z9GAC,,,,,,,,,,,,,,,,,3,2,,,,,,
HFFC-000517,aAZ9000000000bxGAA,,,2,,,,,,1,,,,,,2,,,,,,,2,,
HFFC-001956,aAZ90000000PEOTGA4,,,,,,,,,,,2,,,,,,,,,,,,,
HFFC-002529,aAZ90000000PF8gGAG,5,3,7,2,5,,,2,2,3,1,,2,,1,4,,2,2,1,1,1,1,3
HFFC-021693,aAZ2j0000000CUDGA2,,,,,,,,,,,2,,,,,2,2,,2,1,,,,
HFFC-011534,aAZ0o000000PNHOGA4,3,1,4,5,1,1,4,1,5,4,3,3,4,4,,1,5,3,,6,3,8,7,5
HFFC-009020,aAZ0o000000GpT3GAK,,,,,,2,,,,,1,1,,,,,,,,,,,,
HFFC-007447,aAZ0o000000GnQbGAK,2,3,7,8,,,2,2,3,1,4,6,4,3,3,4,2,,,2,2,,,
HFFC-023291,aAZ2j000000KzeWGAS,,,,,,,,,,,,2,1,1,,,2,7,3,5,5,,,
HFFC-000255,aAZ9000000000GpGAI,,,,2,,,2,,,,1,,,,,,,1,,,,,,
HFFC-020988,aAZ2j0000000BYsGAM,,,,,,,,2,,,3,3,4,,2,,,,,,,,,1
HFFC-030222,aAZ5i000000LMHRGA4,,,,,,,,,,,,,,,,,,,,,1,1,2,8
HFFC-031808,aAZ5i000000LULnGAO,,,,,,,,,,,,,,,,,,,,,,,1,
HFFC-015624,aAZ2j00000004fDGAQ,,,,,,,,,,,,,,,,,2,,,,,,,
HFFC-011920,aAZ0o000000PNmWGAW,,,,,,,,2,,,,,2,1,1,2,,2,,,,,,
HFFC-023772,aAZ2j000000L0WYGA0,,,,,,,,,,,,,,2,,,1,1,,,,,,
HFFC-030573,aAZ5i000000LOeeGAG,,,,,,,,,,,,,,,,,,,,,1,,,
HFFC-028609,aAZ5i000000LC4qGAG,,,,,,,,,,,,,,,,,,,,,1,2,2,1
HFFC-014477,aAZ2j00000003BgGAI,,,,,,,,1,5,,,,4,,1,3,4,1,1,,1,3,1,3
HFFC-000191,aAZ9000000000DIGAY,,2,,2,,,,,5,1,5,,1,3,2,1,4,1,1,,1,1,1,
HFFC-005918,aAZ0o000000ColgGAC,,,,1,,,,,,,,,,,,,,,,,,,,
